sample_id,method,teacher_index,answer_index,approximate_index,candidate_kl,minimum_margin,prediction_match,baseline_correct,approximate_correct,token_count,token_retention,retrieved_frame_indices,variable_path_equivalence_error
vsi_question_1320,exact_pool49,1,0,1,0.04863852262496948,1.5,1,0,0,392,0.25,,0.0
vsi_question_1320,quotient_pool49,1,0,1,0.03301529586315155,1.5,1,0,0,392,0.25,,0.0
vsi_question_1320,residual_energy_frame2,1,0,1,0.03301529586315155,1.5,1,0,0,686,0.4375,0;4,0.0
vsi_question_1320,query_score_frame2,1,0,1,0.011327195912599564,1.5,1,0,0,686,0.4375,3;5,0.0
vsi_question_1320,oracle_frame2,1,0,1,0.0,1.5,1,0,0,686,0.4375,2;5,0.0
vsi_question_3068,exact_pool49,1,1,1,0.022795511409640312,2.875,1,1,1,392,0.25,,0.0
vsi_question_3068,quotient_pool49,1,1,1,0.020430685952305794,2.875,1,1,1,392,0.25,,0.0
vsi_question_3068,residual_energy_frame2,1,1,1,0.011136751621961594,2.875,1,1,1,686,0.4375,0;2,0.0
vsi_question_3068,query_score_frame2,1,1,1,0.27641358971595764,2.875,1,1,1,686,0.4375,4;5,0.0
vsi_question_3068,oracle_frame2,1,1,1,0.0031189536675810814,2.875,1,1,1,686,0.4375,1;2,0.0
vsi_question_1585,exact_pool49,2,0,0,0.06443068385124207,0.125,0,0,1,392,0.25,,0.0
vsi_question_1585,quotient_pool49,2,0,0,0.03665605187416077,0.125,0,0,1,392,0.25,,0.0
vsi_question_1585,residual_energy_frame2,2,0,0,0.027500394731760025,0.125,0,0,1,686,0.4375,5;6,0.0
vsi_question_1585,query_score_frame2,2,0,2,0.00513463607057929,0.125,1,0,0,686,0.4375,0;5,0.0
vsi_question_1585,oracle_frame2,2,0,2,0.0015887925401329994,0.125,1,0,0,686,0.4375,0;7,0.0
vsi_question_3110,exact_pool49,3,3,3,0.05954289436340332,2.125,1,1,1,392,0.25,,0.0
vsi_question_3110,quotient_pool49,3,3,3,0.06484127789735794,2.125,1,1,1,392,0.25,,0.0
vsi_question_3110,residual_energy_frame2,3,3,3,0.04685097932815552,2.125,1,1,1,686,0.4375,3;7,0.0
vsi_question_3110,query_score_frame2,3,3,3,0.324897825717926,2.125,1,1,1,686,0.4375,0;1,0.0
vsi_question_3110,oracle_frame2,3,3,3,0.001127408817410469,2.125,1,1,1,686,0.4375,4;7,0.0
vsi_question_1360,exact_pool49,1,1,0,0.5854765772819519,1.0,0,1,0,392,0.25,,0.0
vsi_question_1360,quotient_pool49,1,1,0,0.4649445414543152,1.0,0,1,0,392,0.25,,0.0
vsi_question_1360,residual_energy_frame2,1,1,1,0.05870306119322777,1.0,1,1,1,686,0.4375,2;7,0.0
vsi_question_1360,query_score_frame2,1,1,1,0.06248246878385544,1.0,1,1,1,686,0.4375,3;6,0.0
vsi_question_1360,oracle_frame2,1,1,1,0.025898057967424393,1.0,1,1,1,686,0.4375,2;6,0.0
vsi_question_1529,exact_pool49,0,0,0,0.0050153229385614395,2.0,1,1,1,392,0.25,,0.0
vsi_question_1529,quotient_pool49,0,0,0,0.0050153229385614395,2.0,1,1,1,392,0.25,,0.0
vsi_question_1529,residual_energy_frame2,0,0,0,0.002933293581008911,2.0,1,1,1,686,0.4375,0;6,0.0
vsi_question_1529,query_score_frame2,0,0,0,0.006540840491652489,2.0,1,1,1,686,0.4375,1;2,0.0
vsi_question_1529,oracle_frame2,0,0,0,0.0,2.0,1,1,1,686,0.4375,0;1,0.0
vsi_question_1128,exact_pool49,0,0,0,0.0711679607629776,0.875,1,1,1,392,0.25,,0.0
vsi_question_1128,quotient_pool49,0,0,0,0.0711679607629776,0.875,1,1,1,392,0.25,,0.0
vsi_question_1128,residual_energy_frame2,0,0,0,0.06578709930181503,0.875,1,1,1,686,0.4375,5;6,0.0
vsi_question_1128,query_score_frame2,0,0,0,0.13105307519435883,0.875,1,1,1,686,0.4375,2;4,0.0
vsi_question_1128,oracle_frame2,0,0,0,0.0,0.875,1,1,1,686,0.4375,0;6,0.0
vsi_question_5059,exact_pool49,3,0,1,0.003843114245682955,0.125,0,0,0,392,0.25,,0.0
vsi_question_5059,quotient_pool49,3,0,1,0.0016614031046628952,0.125,0,0,0,392,0.25,,0.0
vsi_question_5059,residual_energy_frame2,3,0,1,0.0016614031046628952,0.125,0,0,0,686,0.4375,2;7,0.0
vsi_question_5059,query_score_frame2,3,0,3,0.0012411493808031082,0.125,1,0,0,686,0.4375,0;4,0.0
vsi_question_5059,oracle_frame2,3,0,3,0.0,0.125,1,0,0,686,0.4375,0;1,0.0
vsi_question_1344,exact_pool49,1,1,1,0.5826067328453064,0.625,1,1,1,392,0.25,,0.0
vsi_question_1344,quotient_pool49,1,1,1,0.6997278928756714,0.625,1,1,1,392,0.25,,0.0
vsi_question_1344,residual_energy_frame2,1,1,1,0.6068294048309326,0.625,1,1,1,686,0.4375,4;6,0.0
vsi_question_1344,query_score_frame2,1,1,1,0.45125722885131836,0.625,1,1,1,686,0.4375,3;7,0.0
vsi_question_1344,oracle_frame2,1,1,1,0.1652761995792389,0.625,1,1,1,686,0.4375,1;2,0.0
vsi_question_3758,exact_pool49,1,1,1,0.006596077233552933,0.75,1,1,1,392,0.25,,0.0
vsi_question_3758,quotient_pool49,1,1,1,0.006596077233552933,0.75,1,1,1,392,0.25,,0.0
vsi_question_3758,residual_energy_frame2,1,1,1,0.0016762465238571167,0.75,1,1,1,686,0.4375,2;3,0.0
vsi_question_3758,query_score_frame2,1,1,1,0.0016762465238571167,0.75,1,1,1,686,0.4375,4;7,0.0
vsi_question_3758,oracle_frame2,1,1,1,0.0,0.75,1,1,1,686,0.4375,0;6,0.0
vsi_question_5018,exact_pool49,1,1,1,0.0019424259662628174,0.875,1,1,1,392,0.25,,0.0
vsi_question_5018,quotient_pool49,1,1,1,0.0019424259662628174,0.875,1,1,1,392,0.25,,0.0
vsi_question_5018,residual_energy_frame2,1,1,1,0.001207665540277958,0.875,1,1,1,686,0.4375,6;7,0.0
vsi_question_5018,query_score_frame2,1,1,1,0.0011554993689060211,0.875,1,1,1,686,0.4375,2;4,0.0
vsi_question_5018,oracle_frame2,1,1,1,0.0,0.875,1,1,1,686,0.4375,0;1,0.0
vsi_question_2109,exact_pool49,1,3,0,0.03018304705619812,0.625,0,0,0,392,0.25,,0.0
vsi_question_2109,quotient_pool49,1,3,0,0.03538928180932999,0.625,0,0,0,392,0.25,,0.0
vsi_question_2109,residual_energy_frame2,1,3,0,0.0540151447057724,0.625,0,0,0,686,0.4375,0;1,0.0
vsi_question_2109,query_score_frame2,1,3,1,0.01690133847296238,0.625,1,0,0,686,0.4375,2;4,0.0
vsi_question_2109,oracle_frame2,1,3,1,0.006126247346401215,0.625,1,0,0,686,0.4375,2;6,0.0
vsi_question_5079,exact_pool49,0,0,0,0.017535151913762093,0.375,1,1,1,392,0.25,,0.0
vsi_question_5079,quotient_pool49,0,0,0,0.023356163874268532,0.375,1,1,1,392,0.25,,0.0
vsi_question_5079,residual_energy_frame2,0,0,0,0.011454446241259575,0.375,1,1,1,686,0.4375,2;5,0.0
vsi_question_5079,query_score_frame2,0,0,0,0.016703909263014793,0.375,1,1,1,686,0.4375,5;7,0.0
vsi_question_5079,oracle_frame2,0,0,0,0.003901248797774315,0.375,1,1,1,686,0.4375,0;3,0.0
vsi_question_2988,exact_pool49,0,0,1,0.233051136136055,0.75,0,1,0,392,0.25,,0.0
vsi_question_2988,quotient_pool49,0,0,1,0.23409782350063324,0.75,0,1,0,392,0.25,,0.0
vsi_question_2988,residual_energy_frame2,0,0,1,0.36030957102775574,0.75,0,1,0,686,0.4375,3;5,0.0
vsi_question_2988,query_score_frame2,0,0,1,0.44650372862815857,0.75,0,1,0,686,0.4375,0;4,0.0
vsi_question_2988,oracle_frame2,0,0,0,0.029407385736703873,0.75,1,1,1,686,0.4375,0;7,0.0
vsi_question_966,exact_pool49,2,1,3,0.047706421464681625,0.25,0,0,0,392,0.25,,0.0
vsi_question_966,quotient_pool49,2,1,3,0.049079425632953644,0.25,0,0,0,392,0.25,,0.0
vsi_question_966,residual_energy_frame2,2,1,0,0.02673739194869995,0.25,0,0,0,686,0.4375,3;6,0.0
vsi_question_966,query_score_frame2,2,1,3,0.06785275042057037,0.25,0,0,0,686,0.4375,4;7,0.0
vsi_question_966,oracle_frame2,2,1,2,0.007740039378404617,0.25,1,0,0,686,0.4375,0;2,0.0
vsi_question_3032,exact_pool49,3,0,3,0.02019103243947029,0.25,1,0,0,392,0.25,,0.0
vsi_question_3032,quotient_pool49,3,0,3,0.020970728248357773,0.25,1,0,0,392,0.25,,0.0
vsi_question_3032,residual_energy_frame2,3,0,3,0.05202869325876236,0.25,1,0,0,686,0.4375,1;2,0.0
vsi_question_3032,query_score_frame2,3,0,0,0.05285980924963951,0.25,0,0,1,686,0.4375,5;6,0.0
vsi_question_3032,oracle_frame2,3,0,3,0.011087939143180847,0.25,1,0,0,686,0.4375,6;7,0.0
vsi_question_1490,exact_pool49,2,3,0,0.08314508944749832,0.125,0,0,0,392,0.25,,0.0
vsi_question_1490,quotient_pool49,2,3,0,0.0687049850821495,0.125,0,0,0,392,0.25,,0.0
vsi_question_1490,residual_energy_frame2,2,3,0,0.11391109228134155,0.125,0,0,0,686,0.4375,1;7,0.0
vsi_question_1490,query_score_frame2,2,3,0,0.058325618505477905,0.125,0,0,0,686,0.4375,0;6,0.0
vsi_question_1490,oracle_frame2,2,3,0,0.03974638134241104,0.125,0,0,0,686,0.4375,2;6,0.0
vsi_question_2459,exact_pool49,0,0,1,0.06950871646404266,0.125,0,1,0,392,0.25,,0.0
