layer,mode,method,capacity,hidden_dim,storage_bits,instant_capacity,payload_bytes,metadata_bytes,total_state_bytes,read_flops_per_query_token,update_flops_per_input_token
0,frame_centered_unit,recent_window,64,1024,16,0,131072,16,131088,131072,0
0,frame_centered_unit,uniform_reservoir,64,1024,16,0,131072,16,131088,131072,0
0,frame_centered_unit,instant_adaptive,64,1024,16,48,131072,152,131224,131072,36864
0,frame_centered_unit,instant_oja,64,1024,16,48,131072,16,131088,163840,98304
7,frame_centered_unit,recent_window,64,1024,16,0,131072,16,131088,131072,0
7,frame_centered_unit,uniform_reservoir,64,1024,16,0,131072,16,131088,131072,0
7,frame_centered_unit,instant_adaptive,64,1024,16,48,131072,152,131224,131072,36864
7,frame_centered_unit,instant_oja,64,1024,16,48,131072,16,131088,163840,98304
15,frame_centered_unit,recent_window,64,1024,16,0,131072,16,131088,131072,0
15,frame_centered_unit,uniform_reservoir,64,1024,16,0,131072,16,131088,131072,0
15,frame_centered_unit,instant_adaptive,64,1024,16,48,131072,152,131224,131072,36864
15,frame_centered_unit,instant_oja,64,1024,16,48,131072,16,131088,163840,98304
22,frame_centered_unit,recent_window,64,1024,16,0,131072,16,131088,131072,0
22,frame_centered_unit,uniform_reservoir,64,1024,16,0,131072,16,131088,131072,0
22,frame_centered_unit,instant_adaptive,64,1024,16,48,131072,152,131224,131072,36864
22,frame_centered_unit,instant_oja,64,1024,16,48,131072,16,131088,163840,98304
23,frame_centered_unit,recent_window,64,1024,16,0,131072,16,131088,131072,0
23,frame_centered_unit,uniform_reservoir,64,1024,16,0,131072,16,131088,131072,0
23,frame_centered_unit,instant_adaptive,64,1024,16,48,131072,152,131224,131072,36864
23,frame_centered_unit,instant_oja,64,1024,16,48,131072,16,131088,163840,98304
