claim_id,parent_id,statement,status,evidence_required,falsifier,evidence_refs,last_updated
C-000,,"On Wan2.1-T2V-1.3B F81, calibration-only three-stage scalar AR(2/3) plus at most one current-input innovation term certifies at least 35% of screened whole-block calls at held-out aggregate/worst output relative L2 <=1%/2%.",refuted,"Prospective EXP-000 F81 result with disjoint identities and calibration-only certification","Bounded per-sample oracle cannot meet error/coverage threshold, or all calibration-only candidates fail",.research-control/results/RESULT-EXP-000.md,2026-08-07
C-001,,"The EXP-000 F81 temporal-state failure is materially reduced by hardware-bounded channel or token-row grouped AR3+innovation coefficients.",refuted,"A fresh full-tensor untouched-identity protocol after a positive sampled-row audit","The strongest sampled-row joint-group oracle remains above 1%/2% at H2",.research-control/results/RESULT-EXP-001.md,2026-08-07
C-002,,"On the same Wan F81 dense trajectory, recomputing target-step conditioning and forecasting raw self-attention, cross-attention, and FFN outputs separately reduces sampled-row H2 block-output error by at least 50% relative to forecasting the whole-block residual.",refuted,"Frozen EXP-002 two-identity apples-to-apples module-target audit","The recomposed module predictor improves by less than 50%, or block 12 remains above 5% aggregate sampled-output relative L2",.research-control/results/RESULT-EXP-002.md,2026-08-09
C-003,,"On Wan2.1-T2V-1.3B F81, a calibration-frozen non-chained policy choosing dense, one-step reuse, or first-order Taylor separately for SA and FFN removes at least 16.67% of denoiser work while held-out selected-call aggregate/worst sampled block-output relative L2 remains at most 1%/2%.",refuted,"Prospective EXP-003 four-identity full-30-block atlas with calibration-only selection","The held-out non-chained oracle or the calibration-frozen policy cannot jointly meet the 1%/2% quality and 16.67% removed-work thresholds",.research-control/results/RESULT-EXP-003.md,2026-08-10
C-004,,"On the frozen Wan F81 centroid/moment action set, a calibration-only linear-cost Q/K/V structure scout selects per-head actions with held-out aggregate/worst local output relative L2 at most 1%/2% and fallback-adjusted arithmetic attention speedup at least 1.5x, improving at least 0.05x over static or mass-only routing.",refuted,"Prospective EXP-004 split-frozen structure-scout screen over two untouched identities","The target-leaking action envelope is below 1.5x, or the frozen full scout misses quality/speed, or it fails to improve on static/mass routing",.research-control/results/RESULT-EXP-004.md,2026-08-11
C-005,,"On the frozen Wan F81 Layer 14 step-9 cell, hierarchical block-centroid moments plus value-aware block control-variate sampling achieve held-out aggregate/worst local AV relative L2 at most 1%/2% using at most 37.5% draw work, while the target-leaking oracle reaches 0.5%/1%.",refuted,"Prospective EXP-005 split-frozen numerical probe over four existing QKV identities","The oracle misses 0.5%/1% by 50% draw work, or the calibration-frozen proposal misses 1%/2% by 37.5%, or the estimator is numerically unsafe",.research-control/results/RESULT-EXP-005.md,2026-08-11
C-006,,"On the frozen Wan F81 Layer-14 step-9 cell, at least one query-group-aware block mechanism reaches the registered oracle 0.5%/1% local AV gate by 37.5% work, and its error factorial identifies proposal granularity, sampling design, or partition estimation as the dominant EXP-005 bottleneck.",refuted,"Prospective EXP-006 equal-work mechanism comparison on two untouched identities","No target-leaking joint or exact-Z mechanism reaches 0.5%/1% even at 50% work",.research-control/results/RESULT-EXP-006.md,2026-08-11
C-007,,"On the frozen Wan F81 Layer-14 step-9 conditional cell, a calibration-frozen signed numerator tail with numerator rank at most 64, positive partition rank 32, optional output-adapter rank at most 8, and 25% regular exact support reaches test aggregate/worst-head local AV relative L2 at most 1%/2%, while its transductive exact-partition capacity reaches 0.5%/1%.",refuted,"Prospective EXP-007 split-frozen training and one-shot test evaluation on four existing identities","The selected calibration-frozen model misses 1%/2%, or the transductive exact-partition diagnostic misses 0.5%/1%, or numerical/arithmetic guards fail",.research-control/results/RESULT-EXP-007.md,2026-08-11
C-008,,"After a frozen positive rank-64 bulk and 25% regular exact support on the Wan F81 Layer-14 step-9 conditional cell, at least one validation-selected QKV-only content basis at rank 16 reduces the test residual to aggregate/worst-head local AV relative L2 at most 1%/2%, while adaptive rank-16 SVD reaches 0.5%/1%.",refuted,"Prospective EXP-008 split-frozen basis-provenance analysis on four existing identities","Adaptive rank 16 misses 0.5%/1%, or all QKV-only content bases through rank 32 miss 1%/2%",.research-control/results/RESULT-EXP-008.md,2026-08-11
C-009,,"After 25% regular sparse-only attention on the Wan F81 Layer-14 step-9 conditional cell, a validation-selected target-exposed signed value-aware latent-pooling basis at rank 16 reaches test aggregate/worst-head local AV relative L2 at most 1%/2% and recovers at least 90% of adaptive rank-16 captured defect energy.",refuted,"Prospective EXP-009 target-exposed latent-pooling ceiling with validation family selection and one-shot test execution","The selected rank-16 family misses 1%/2% or captures less than 90% of adaptive rank-16 defect-energy reduction",.research-control/results/RESULT-EXP-009.md,2026-08-11
C-010,,"On the same Wan F81 Layer-14 step-9 conditional cell, a validation-selected target-exposed union of contiguous 64-token blocks at density at most 18.75% leaves a sparse-attention output defect whose adaptive rank-16 correction reaches test aggregate/worst-head relative L2 at most 0.5%/1%.",refuted,"Prospective EXP-010 regular-support rank-shaping oracle with frozen validation selection and one-shot test","No registered regular support at density at most 18.75% reaches adaptive rank-16 0.5%/1%",.research-control/results/RESULT-EXP-010.md,2026-08-12
C-011,,"After 25% pooled-Q/K regular support on the Wan F81 Layer-14 step-9 conditional cell, a validation-selected target-exposed set of at most 10% exact contiguous-64 block-innovation atoms plus an adaptive rank-16 tail reaches test aggregate/worst-head relative L2 at most 0.5%/1%.",refuted,"Prospective EXP-011 exact additive block-innovation oracle with validation selector choice and one-shot test","No registered innovation selector through 10% reaches adaptive rank-16 0.5%/1%",.research-control/results/RESULT-EXP-011.md,2026-08-12
