sample_id,method,teacher_index,answer_index,approximate_index,approximate_top1_margin,minimum_margin,feature_relative_l2,candidate_kl,maximum_normalized_adverse_shift,prediction_match,harmful,beneficial
vsi_question_5065,vsi_pca_train96_r456,0,2,0,0.0,0.0,0.13344067335128784,0.0013396283611655235,0.5,1,0,0
vsi_question_5065,pooled3_pca_r456,0,2,0,0.0,0.0,0.13835768401622772,0.0013396283611655235,0.5,1,0,0
vsi_question_5065,cmrq_risk_atoms32_r456,0,2,0,0.0,0.0,0.14300110936164856,0.0,0.0,1,0,0
vsi_question_5065,cmrq_mix_g32_w0p3_r456,0,2,0,0.125,0.0,0.14299681782722473,0.001521422527730465,0.0,1,0,0
vsi_question_5065,permuted_mix_g32_w0p3_r456,0,2,0,0.0,0.0,0.14311283826828003,0.001942664384841919,1.0,1,0,0
vsi_question_3680,vsi_pca_train96_r456,0,1,0,0.625,0.75,0.13222530484199524,0.001891440711915493,0.1666666716337204,1,0,0
vsi_question_3680,pooled3_pca_r456,0,1,0,0.75,0.75,0.14147226512432098,0.000803876668214798,0.0,1,0,0
vsi_question_3680,cmrq_risk_atoms32_r456,0,1,0,0.75,0.75,0.14643467962741852,0.000803876668214798,0.0,1,0,0
vsi_question_3680,cmrq_mix_g32_w0p3_r456,0,1,0,0.75,0.75,0.14643001556396484,0.000803876668214798,0.0,1,0,0
vsi_question_3680,permuted_mix_g32_w0p3_r456,0,1,0,0.75,0.75,0.14657139778137207,0.0,0.0,1,0,0
vsi_question_2070,vsi_pca_train96_r456,2,0,3,0.125,0.0,0.14184355735778809,0.0016802381724119186,2.5,0,0,0
vsi_question_2070,pooled3_pca_r456,2,0,3,0.25,0.0,0.1465327888727188,0.006612662225961685,5.0,0,0,0
vsi_question_2070,cmrq_risk_atoms32_r456,2,0,3,0.125,0.0,0.15142688155174255,0.0016802381724119186,2.5,0,0,0
vsi_question_2070,cmrq_mix_g32_w0p3_r456,2,0,3,0.125,0.0,0.15142187476158142,0.0018984759226441383,2.5,0,0,0
vsi_question_2070,permuted_mix_g32_w0p3_r456,2,0,3,0.125,0.0,0.15152306854724884,0.0016802381724119186,2.5,0,0,0
vsi_question_5142,vsi_pca_train96_r456,1,2,1,0.0,0.125,0.13771037757396698,0.001880001276731491,1.0,1,0,0
vsi_question_5142,pooled3_pca_r456,1,2,1,0.125,0.125,0.14300186932086945,0.001377750188112259,0.20000000298023224,1,0,0
vsi_question_5142,cmrq_risk_atoms32_r456,1,2,1,0.0,0.125,0.14783816039562225,0.001880001276731491,1.0,1,0,0
vsi_question_5142,cmrq_mix_g32_w0p3_r456,1,2,1,0.0,0.125,0.1478338986635208,0.001880001276731491,1.0,1,0,0
vsi_question_5142,permuted_mix_g32_w0p3_r456,1,2,1,0.0,0.125,0.14793379604816437,0.001880001276731491,1.0,1,0,0
vsi_question_3168,vsi_pca_train96_r456,0,2,0,0.125,0.125,0.1411917358636856,0.0013071629218757153,0.0625,1,0,0
vsi_question_3168,pooled3_pca_r456,0,2,0,0.25,0.125,0.14462262392044067,0.0019517552573233843,0.0,1,0,0
vsi_question_3168,cmrq_risk_atoms32_r456,0,2,0,0.125,0.125,0.1495039314031601,0.0013071629218757153,0.0625,1,0,0
vsi_question_3168,cmrq_mix_g32_w0p3_r456,0,2,0,0.25,0.125,0.14949944615364075,0.003527425229549408,0.0,1,0,0
vsi_question_3168,permuted_mix_g32_w0p3_r456,0,2,0,0.25,0.125,0.1496075689792633,0.0019517552573233843,0.0,1,0,0
vsi_question_991,vsi_pca_train96_r456,2,2,2,0.5,0.5,0.14246687293052673,0.0011478513479232788,0.0,1,0,0
vsi_question_991,pooled3_pca_r456,2,2,2,0.5,0.5,0.14866536855697632,0.0,0.0,1,0,0
