sample_id,method,teacher_index,answer_index,approximate_index,approximate_top1_margin,minimum_margin,feature_relative_l2,candidate_kl,maximum_normalized_adverse_shift,prediction_match,harmful,beneficial
vsi_question_1320,vsi_pca_train96_r456,1,0,1,1.5,1.5,0.14214986562728882,0.0,0.0,1,0,0
vsi_question_1320,pooled3_pca_r456,1,0,1,1.375,1.5,0.1460176408290863,0.0011960864067077637,0.0833333358168602,1,0,0
vsi_question_1320,cmrq_risk_atoms32_r456,1,0,1,1.5,1.5,0.15082627534866333,0.0,0.0,1,0,0
vsi_question_1320,cmrq_mix_g32_w0p3_r456,1,0,1,1.375,1.5,0.15082108974456787,0.0011960864067077637,0.0833333358168602,1,0,0
vsi_question_1320,permuted_mix_g32_w0p3_r456,1,0,1,1.375,1.5,0.15094473958015442,0.0011960864067077637,0.0833333358168602,1,0,0
vsi_question_3068,vsi_pca_train96_r456,1,1,1,2.875,2.875,0.1385819911956787,0.0,0.0,1,0,0
vsi_question_3068,pooled3_pca_r456,1,1,1,2.875,2.875,0.14475685358047485,0.0002966928295791149,0.03999999910593033,1,0,0
vsi_question_3068,cmrq_risk_atoms32_r456,1,1,1,2.875,2.875,0.14936310052871704,0.0,0.0,1,0,0
vsi_question_3068,cmrq_mix_g32_w0p3_r456,1,1,1,2.75,2.875,0.14935851097106934,0.0009434027597308159,0.043478261679410934,1,0,0
vsi_question_3068,permuted_mix_g32_w0p3_r456,1,1,1,2.75,2.875,0.1495094746351242,0.0006406418979167938,0.043478261679410934,1,0,0
vsi_question_1585,vsi_pca_train96_r456,2,0,2,0.25,0.125,0.13453279435634613,0.0018505686894059181,0.0,1,0,0
vsi_question_1585,pooled3_pca_r456,2,0,2,0.25,0.125,0.1416749209165573,0.0017065946012735367,0.0,1,0,0
vsi_question_1585,cmrq_risk_atoms32_r456,2,0,2,0.25,0.125,0.14636683464050293,0.0018505686894059181,0.0,1,0,0
vsi_question_1585,cmrq_mix_g32_w0p3_r456,2,0,2,0.125,0.125,0.14636282622814178,0.0,0.0,1,0,0
vsi_question_1585,permuted_mix_g32_w0p3_r456,2,0,2,0.25,0.125,0.14648877084255219,0.0018505686894059181,0.0,1,0,0
vsi_question_3110,vsi_pca_train96_r456,3,3,3,2.0,2.125,0.13653196394443512,0.001445181667804718,0.05882352963089943,1,0,0
vsi_question_3110,pooled3_pca_r456,3,3,3,2.125,2.125,0.143668532371521,0.0,0.0,1,0,0
vsi_question_3110,cmrq_risk_atoms32_r456,3,3,3,2.0,2.125,0.14861366152763367,0.0010050013661384583,0.05882352963089943,1,0,0
vsi_question_3110,cmrq_mix_g32_w0p3_r456,3,3,3,2.125,2.125,0.14860866963863373,0.0,0.0,1,0,0
vsi_question_3110,permuted_mix_g32_w0p3_r456,3,3,3,2.125,2.125,0.14870959520339966,0.00042322510853409767,0.0476190485060215,1,0,0
vsi_question_1360,vsi_pca_train96_r456,1,1,1,0.75,1.0,0.1420968919992447,0.006226724945008755,0.25,1,0,0
vsi_question_1360,pooled3_pca_r456,1,1,1,0.75,1.0,0.1478348970413208,0.006652908865362406,0.25,1,0,0
vsi_question_1360,cmrq_risk_atoms32_r456,1,1,1,0.875,1.0,0.15283581614494324,0.0016367698553949594,0.125,1,0,0
vsi_question_1360,cmrq_mix_g32_w0p3_r456,1,1,1,1.0,1.0,0.15283197164535522,0.0007036840543150902,0.06896551698446274,1,0,0
vsi_question_1360,permuted_mix_g32_w0p3_r456,1,1,1,0.875,1.0,0.15296722948551178,0.0020164144225418568,0.125,1,0,0
vsi_question_1529,vsi_pca_train96_r456,0,0,0,2.125,2.0,0.13846299052238464,0.0010524392127990723,0.0,1,0,0
vsi_question_1529,pooled3_pca_r456,0,0,0,2.0,2.0,0.14589883387088776,0.0,0.0,1,0,0
vsi_question_1529,cmrq_risk_atoms32_r456,0,0,0,2.0,2.0,0.15073733031749725,0.0,0.0,1,0,0
vsi_question_1529,cmrq_mix_g32_w0p3_r456,0,0,0,2.125,2.0,0.15073329210281372,0.0010524392127990723,0.0,1,0,0
vsi_question_1529,permuted_mix_g32_w0p3_r456,0,0,0,2.0,2.0,0.15084496140480042,0.0,0.0,1,0,0
vsi_question_1128,vsi_pca_train96_r456,0,0,0,0.75,0.875,0.13617892563343048,0.0014745108783245087,0.1428571492433548,1,0,0
vsi_question_1128,pooled3_pca_r456,0,0,0,0.875,0.875,0.1424379199743271,0.0,0.0,1,0,0
vsi_question_1128,cmrq_risk_atoms32_r456,0,0,0,0.75,0.875,0.1475437730550766,0.0014745108783245087,0.1428571492433548,1,0,0
vsi_question_1128,cmrq_mix_g32_w0p3_r456,0,0,0,0.75,0.875,0.14753875136375427,0.0014745108783245087,0.1428571492433548,1,0,0
vsi_question_1128,permuted_mix_g32_w0p3_r456,0,0,0,0.75,0.875,0.14764715731143951,0.0019065439701080322,0.1428571492433548,1,0,0
vsi_question_5059,vsi_pca_train96_r456,3,0,3,0.25,0.125,0.13306722044944763,0.0019309027120471,0.0,1,0,0
vsi_question_5059,pooled3_pca_r456,3,0,3,0.125,0.125,0.13993524014949799,0.0,0.0,1,0,0
vsi_question_5059,cmrq_risk_atoms32_r456,3,0,3,0.125,0.125,0.14465977251529694,0.0,0.0,1,0,0
vsi_question_5059,cmrq_mix_g32_w0p3_r456,3,0,3,0.125,0.125,0.14465519785881042,0.0,0.0,1,0,0
vsi_question_5059,permuted_mix_g32_w0p3_r456,3,0,3,0.125,0.125,0.1447654515504837,0.0010179812088608742,0.0,1,0,0
vsi_question_1344,vsi_pca_train96_r456,1,1,1,0.75,0.625,0.14014945924282074,0.004306193441152573,0.0,1,0,0
vsi_question_1344,pooled3_pca_r456,1,1,1,0.875,0.625,0.14557833969593048,0.016824886202812195,0.0,1,0,0
vsi_question_1344,cmrq_risk_atoms32_r456,1,1,1,0.75,0.625,0.15039187669754028,0.004306193441152573,0.0,1,0,0
vsi_question_1344,cmrq_mix_g32_w0p3_r456,1,1,1,0.75,0.625,0.15038760006427765,0.00896979495882988,0.0,1,0,0
vsi_question_1344,permuted_mix_g32_w0p3_r456,1,1,1,0.875,0.625,0.15049493312835693,0.011399812996387482,0.0,1,0,0
vsi_question_3758,vsi_pca_train96_r456,1,1,1,0.75,0.75,0.13604077696800232,0.0,0.0,1,0,0
vsi_question_3758,pooled3_pca_r456,1,1,1,0.875,0.75,0.14299573004245758,0.0016762465238571167,0.0,1,0,0
vsi_question_3758,cmrq_risk_atoms32_r456,1,1,1,0.875,0.75,0.14772401750087738,0.0016762465238571167,0.0,1,0,0
vsi_question_3758,cmrq_mix_g32_w0p3_r456,1,1,1,0.875,0.75,0.14771944284439087,0.0016762465238571167,0.0,1,0,0
vsi_question_3758,permuted_mix_g32_w0p3_r456,1,1,1,0.75,0.75,0.14783456921577454,0.0,0.0,1,0,0
