sample_id,task,selector,reference_variant,candidate_variant,transition,prediction_changed,reference_correct,candidate_correct,reference_prediction,candidate_prediction,answer,question,frame_indices,pool_reconstruction_error,selected_reconstruction_error
action_sequence_0000,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Put down the cup/glass/bottle.,Put down the cup/glass/bottle.,Ate the medicine.,What happened after the person took the food?,"[249, 261, 273, 285, 322, 358, 370, 382]",0.06889381259679794,0.06930919736623764
action_sequence_0010,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,Put down the laptop.,Put down the laptop.,Put down the laptop.,What happened before the person sat on the sofa/couch?,"[298, 326, 339, 381, 395, 409, 423, 437]",0.06750696152448654,0.06971387565135956
action_sequence_0016,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,Tidied up the table.,Tidied up the table.,Tidied up the table.,What happened after the person took the dish?,"[70, 74, 79, 83, 87, 126, 130, 134]",0.08092357218265533,0.07859775424003601
action_sequence_0021,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Put down the phone/camera.,Put down the phone/camera.,Threw the clothes.,What happened before the person took the towel?,"[185, 192, 208, 216, 224, 232, 240, 248]",0.06798675656318665,0.07006809860467911
action_sequence_0023,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Tidied up the closet/cabinet.,Tidied up the closet/cabinet.,Tidied up the blanket.,What happened before the person put down the clothes?,"[274, 302, 316, 358, 400, 414, 428, 442]",0.08214665949344635,0.08178923279047012
action_sequence_0024,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,Opened the book.,Opened the book.,Opened the book.,What happened after the person drank from the cup/glass/bottle?,"[212, 231, 250, 259, 268, 278, 287, 297]",0.07555018365383148,0.07518237829208374
action_sequence_0027,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,Put down the dish.,Put down the dish.,Put down the dish.,What happened before the person opened the closet/cabinet?,"[232, 274, 288, 344, 386, 414, 428, 442]",0.06774824112653732,0.06830045580863953
action_sequence_0030,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,Sat on the sofa/couch.,Sat on the sofa/couch.,Sat on the sofa/couch.,What happened before the person took the blanket?,"[293, 327, 344, 394, 444, 495, 511, 528]",0.06594289839267731,0.06740140169858932
action_sequence_0036,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,Washed the clothes.,Washed the clothes.,Washed the clothes.,What happened after the person held the sandwich?,"[173, 183, 193, 203, 252, 292, 302, 312]",0.07361646741628647,0.07344820350408554
action_sequence_0041,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,Took the paper/notebook.,Took the paper/notebook.,Took the paper/notebook.,What happened after the person opened the refrigerator?,"[452, 470, 489, 507, 526, 544, 563, 581]",0.06309212744235992,0.0645880252122879
action_sequence_0048,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Tidied up the closet/cabinet.,Tidied up the closet/cabinet.,Tidied up the blanket.,What happened after the person put down the clothes?,"[239, 253, 280, 362, 376, 403, 417, 431]",0.07845780998468399,0.07997366786003113
action_sequence_0051,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Put down the phone/camera.,Put down the phone/camera.,Took the book.,What happened after the person closed the door?,"[253, 278, 327, 340, 352, 365, 377, 389]",0.07366376370191574,0.07369638979434967
action_sequence_0056,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,Took the paper/notebook.,Took the paper/notebook.,Took the paper/notebook.,What happened after the person opened the book?,"[34, 35, 37, 41, 44, 51, 53, 55]",0.07427733391523361,0.0736081525683403
action_sequence_0062,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,Put down the box.,Put down the box.,Put down the box.,What happened after the person sat at the table?,"[182, 191, 201, 221, 231, 290, 300, 310]",0.061344023793935776,0.06052984297275543
action_sequence_0063,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Took the towel.,Took the towel.,Took the paper/notebook.,What happened after the person held the dish?,"[94, 134, 140, 157, 162, 168, 174, 180]",0.05409282445907593,0.05461040139198303
action_sequence_0067,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,Sat at the table.,Sat at the table.,Sat at the table.,What happened before the person held the sandwich?,"[303, 318, 392, 407, 422, 436, 451, 466]",0.07198408246040344,0.07158715277910233
action_sequence_0068,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,1,0,0,Put down the broom.,Opened the bag.,Threw the pillow.,What happened before the person held the phone/camera?,"[295, 313, 331, 349, 403, 529, 547, 565]",0.08026006072759628,0.08086035400629044
action_sequence_0079,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,Lied on the floor.,Lied on the floor.,Lied on the floor.,What happened before the person watched at the picture?,"[131, 168, 176, 183, 198, 221, 228, 236]",0.06056367605924606,0.059639301151037216
action_sequence_0090,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Opened the closet/cabinet.,Opened the closet/cabinet.,Opened the box.,What happened after the person threw the clothes?,"[128, 143, 198, 213, 221, 229, 237, 245]",0.0765654444694519,0.07680314034223557
action_sequence_0098,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Sat on the sofa/couch.,Sat on the sofa/couch.,Put down the shoe.,What happened after the person opened the box?,"[43, 57, 59, 61, 64, 66, 68, 70]",0.06445007771253586,0.06391947716474533
action_sequence_0103,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Put down the towel.,Put down the towel.,Sat on the floor.,What happened after the person washed the clothes?,"[261, 286, 337, 350, 363, 376, 388, 401]",0.07032902538776398,0.07007444649934769
action_sequence_0106,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,Put down the book.,Put down the book.,Put down the book.,What happened after the person sat at the table?,"[262, 288, 301, 313, 365, 377, 390, 403]",0.04092429578304291,0.04075183346867561
action_sequence_0113,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Opened the bag.,Opened the bag.,Took the clothes.,What happened before the person opened the refrigerator?,"[239, 251, 276, 288, 300, 362, 374, 386]",0.07229159027338028,0.07247422635555267
action_sequence_0125,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Took the picture.,Took the picture.,Opened the book.,What happened after the person sat at the table?,"[297, 310, 322, 335, 348, 373, 386, 398]",0.049511220306158066,0.04958882927894592
action_sequence_0126,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,Took the broom.,Took the broom.,Took the broom.,What happened after the person sat on the floor?,"[188, 196, 203, 211, 219, 226, 234, 242]",0.07081225514411926,0.07029276341199875
action_sequence_0137,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Put down the cup/glass/bottle.,Put down the cup/glass/bottle.,Closed the laptop.,What happened before the person opened the closet/cabinet?,"[290, 303, 317, 330, 344, 398, 411, 425]",0.0800105407834053,0.08013682812452316
action_sequence_0147,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,Took the paper/notebook.,Took the paper/notebook.,Took the paper/notebook.,What happened before the person held the book?,"[201, 213, 249, 274, 286, 359, 371, 383]",0.06334757059812546,0.06309490650892258
action_sequence_0151,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Sat on the sofa/couch.,Sat on the sofa/couch.,Closed the laptop.,What happened before the person took the food?,"[170, 180, 190, 242, 293, 304, 314, 324]",0.06277542561292648,0.0628839060664177
action_sequence_0154,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Closed the refrigerator.,Closed the refrigerator.,Took the towel.,What happened after the person closed the door?,"[169, 179, 243, 252, 261, 271, 280, 289]",0.06182556226849556,0.061968136578798294
action_sequence_0155,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Opened the bag.,Opened the bag.,Took the towel.,What happened before the person held the clothes?,"[154, 179, 187, 221, 229, 246, 254, 262]",0.03964068740606308,0.039720889180898666
action_sequence_0156,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Took the picture.,Took the picture.,Put down the dish.,What happened before the person took the phone/camera?,"[228, 239, 250, 305, 317, 328, 339, 350]",0.06837102025747299,0.06930896639823914
action_sequence_0158,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Opened the bag.,Opened the bag.,Closed the box.,What happened after the person put down the towel?,"[190, 212, 222, 288, 299, 320, 331, 342]",0.0635010227560997,0.06257880479097366
action_sequence_0161,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,Took the book.,Took the book.,Took the book.,What happened after the person put down the laptop?,"[86, 113, 117, 122, 126, 130, 135, 139]",0.06212383881211281,0.061837200075387955
action_sequence_0163,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,Closed the refrigerator.,Closed the refrigerator.,Closed the refrigerator.,What happened after the person put down the food?,"[130, 138, 145, 153, 197, 220, 227, 235]",0.04011116549372673,0.03994017094373703
action_sequence_0168,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_wrong,0,0,0,Opened the door.,Opened the door.,Put down the sandwich.,What happened after the person took the cup/glass/bottle?,"[85, 90, 100, 110, 130, 144, 149, 154]",0.07403068244457245,0.07341096550226212
action_sequence_0173,action_sequence,learned_recent_query_topk,full,pca_r256_grid2x2,stable_correct,0,1,1,Closed the refrigerator.,Closed the refrigerator.,Closed the refrigerator.,What happened before the person held the sandwich?,"[259, 270, 280, 291, 301, 312, 323, 333]",0.0633026659488678,0.06331329792737961
