Generating SQLite file /home/wangmeiqi/codex_runs/base2_h200_fp8_20260723/results/profile_f17_fa3_20step_nsys_v1/fa3_f17_20step.sqlite from /home/wangmeiqi/codex_runs/base2_h200_fp8_20260723/results/profile_f17_fa3_20step_nsys_v1/fa3_f17_20step.nsys-rep
Processing [/home/wangmeiqi/codex_runs/base2_h200_fp8_20260723/results/profile_f17_fa3_20step_nsys_v1/fa3_f17_20step.sqlite] with [/usr/local/cuda-12.9/nsight-systems-2025.1.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]...
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
17.6,1091489572,1260,866261.6,865687.0,855798,892311,4119.3,"void flash::compute_attn_ws<Flash_fwd_kernel_traits<(int)128, (int)128, (int)176, (int)12, (int)2, (bool)0, (int)1, cutlass::bfloat16_t, (bool)0, (int)1>, (bool)0, (bool)0, flash::StaticPersistentTileScheduler<(bool)0>, flash::SeqLenTraits<(bool)0, (bool)0, (bool)0>, flash::SeqLenTraits<(bool)0, (bool)0, (bool)0>>(flash::CollectiveMainloopFwd<T1, T2, T3, T5, T6>::Params, flash::CollectiveEpilogueFwd<T1, T6>::Params, T4::Params, T6, T5)"
12.5,771189477,8820,87436.4,55010.0,53857,292263,79492.2,nvjet_tst_128x240_64x4_2x1_v_bz_coopA_bias_TNT
7.4,456791922,6384,71552.6,97602.5,2944,518829,32912.7,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::BFloat16>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
6.2,384221589,1260,304937.8,304648.0,300200,793749,13822.4,nvjet_tst_256x152_64x4_1x2_h_bz_coopA_bias_TNT
6.1,380435276,4302,88432.2,92899.0,1984,1211168,55958.4,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
5.8,358333953,12919,27737.0,25152.0,3168,489612,34380.9,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
5.1,316088342,11812,26759.9,38241.0,2720,56098,16840.2,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
5.0,309587697,60,5159795.0,6066160.5,1452422,6132706,1855407.6,sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x32x32_warpgroupsize1x1x1_g1_execute_segment_k_off_kernel__5x_cudnn
4.0,245137705,2520,97276.9,97251.0,91139,104899,1802.5,"void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)4, (int)128, (int)1, (int)16>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
3.5,218747641,7834,27922.9,33153.0,2816,35137,11249.5,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3.2,195186016,160,1219912.6,262518.5,45633,3752067,1496314.8,sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x32_warpgroupsize1x1x1_g1_execute_segment_k_on_kernel__5x_cudnn
2.5,155968711,10093,15453.2,18881.0,992,28897,7254.3,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
2.3,143041802,3822,37425.9,36449.0,35553,41281,1667.3,"void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float, (bool)0>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)"
2.0,126450961,96,1317197.5,1419460.0,237766,1995989,672600.3,sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x32_warpgroupsize1x1x1_g1_execute_segment_k_off_kernel__5x_cudnn
2.0,121152211,1260,96152.5,96098.0,94978,98339,499.5,"void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)128, (int)128, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)128, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(pytorch_flash::Flash_fwd_params)"
1.9,115039446,5284,21771.3,18880.0,1793,438699,31548.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
