Generating SQLite file /home/wangmeiqi/codex_runs/base2_h200_fp8_20260723/results/profile_f81_fa3_1step_nsys_v1/fa3_f81_1step.sqlite from /home/wangmeiqi/codex_runs/base2_h200_fp8_20260723/results/profile_f81_fa3_1step_nsys_v1/fa3_f81_1step.nsys-rep
Processing [/home/wangmeiqi/codex_runs/base2_h200_fp8_20260723/results/profile_f81_fa3_1step_nsys_v1/fa3_f81_1step.sqlite] with [/usr/local/cuda-12.9/nsight-systems-2025.1.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]...
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
20.4,1707537522,120,14229479.3,14212352.5,14103279,14618266,80869.2,"void flash::compute_attn_ws<Flash_fwd_kernel_traits<(int)128, (int)128, (int)176, (int)12, (int)2, (bool)0, (int)2, cutlass::bfloat16_t, (bool)0, (int)1>, (bool)0, (bool)0, flash::StaticPersistentTileScheduler<(bool)0>, flash::SeqLenTraits<(bool)0, (bool)0, (bool)0>, flash::SeqLenTraits<(bool)0, (bool)0, (bool)0>>(flash::CollectiveMainloopFwd<T1, T2, T3, T5, T6>::Params, flash::CollectiveEpilogueFwd<T1, T6>::Params, T4::Params, T6, T5)"
17.7,1476350030,252,5858531.9,6075549.5,1471303,6172160,978719.4,sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x32x32_warpgroupsize1x1x1_g1_execute_segment_k_off_kernel__5x_cudnn
11.5,960957977,704,1364997.1,261686.5,45889,3749859,1569445.6,sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x32_warpgroupsize1x1x1_g1_execute_segment_k_on_kernel__5x_cudnn
6.5,547125947,384,1424807.2,1933650.5,238758,2015957,704566.6,sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x32_warpgroupsize1x1x1_g1_execute_segment_k_off_kernel__5x_cudnn
5.4,447777192,960,466434.6,219014.0,212069,1255745,430129.3,nvjet_tst_256x152_64x4_1x2_h_bz_coopA_bias_TNT
3.9,328288457,2460,133450.6,95586.0,3968,492428,142564.3,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3.0,252259012,2412,104585.0,27809.0,2016,1210655,200750.4,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.8,236183297,1680,140585.3,59793.5,5440,486445,172085.5,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.7,227707391,1262,180433.7,65154.0,8096,522254,200694.3,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.6,216134974,1384,156166.9,77666.0,1728,458988,167813.8,_cat_pad_ndhwc_kernel
2.1,171601491,1218,140887.9,34289.0,4352,459308,175017.5,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, (int)4, (int)4>>(T3)"
2.0,171344852,608,281817.2,382761.5,2912,386890,123736.6,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::BFloat16>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
