family,work,arxiv_id,source,setting,core_mechanism,bounded_state,query_or_event_conditioned,system_measurement,novelty_consequence,priority
streaming_memory,VideoStreaming,2405.16009,https://arxiv.org/abs/2405.16009,streaming long video,memory-propagated clip encoding plus adaptive query selection,yes,query conditioned,token budget and quality reported,propagated memory plus query selection is direct prior art,critical
streaming_memory,Flash-VStream,2406.08085,https://arxiv.org/abs/2406.08085,online long video,two-tier context and retrieval memory,yes,query retrieval,latency and memory reported,memory hierarchy is established,high
systems,VideoLLM-MoD,2408.16730,https://arxiv.org/abs/2408.16730,streaming video,layer-wise vision-token compute skipping,not applicable,stream conditioned,time and memory reported,token-state reduction must be compared with compute-depth routing,high
streaming_memory,VideoChat-Online / OVBench,2501.00584,https://arxiv.org/abs/2501.00584,online video,pyramid memory bank,yes,online query,online benchmark and efficiency,causal online evaluation is established,high
streaming_memory,StreamChat,2501.13468,https://arxiv.org/abs/2501.13468,streaming dialogue,hierarchical memory and parallel scheduling,yes,query conditioned,system scheduling reported,memory and scheduling must be separated,medium
streaming_memory,ReKV,2503.00540,https://arxiv.org/abs/2503.00540,long streaming video,window encoding plus host or disk KV retrieval,no,query retrieval,offload and retrieval reported,host and disk state cannot be treated as free,high
streaming_memory,Long-VMNet,2503.13707,https://arxiv.org/abs/2503.13707,long video,fixed discriminative patch memory,yes,learned patch selection,efficiency reported,patch memory is a required control,medium
streaming_memory,StreamBridge,2505.05467,https://arxiv.org/abs/2505.05467,proactive streaming video,round-decayed memory compression plus activation model,yes,query and response conditioned,quality and online behavior reported,memory compression alone is not proactive streaming,high
streaming_memory,LiveVLM,2505.15269,https://arxiv.org/abs/2505.15269,online video,training-free KV compression and retrieval,yes,query retrieval,speed and capacity reported,KV-centric training-free baseline is required,high
streaming_memory,StreamForest,2509.24871,https://arxiv.org/abs/2509.24871,online video,event memory forest plus local window,yes,event conditioned,online benchmark reported,event hierarchy plus local cache is direct competition,high
streaming_memory,video-SALMONN S,2510.11129,https://arxiv.org/abs/2510.11129,long audio-visual streams,test-time-training memory plus prompt-dependent reader,yes,prompt conditioned,memory budget length and quality reported,fixed-budget learned state with query readout is direct competition,critical
streaming_memory,rLiVS,2510.17364,https://arxiv.org/abs/2510.17364,streaming Video-LLM,LLM-attention token selection plus recurrent context,yes,LLM-attention conditioned,token reduction and quality reported,training-free recurrent token selection is a mandatory control,high
streaming_memory,StreamingTOM,2510.18269,https://arxiv.org/abs/2510.18269,online video,pre-LLM token reduction plus quantized memory,yes,stream conditioned,TTFT memory and accuracy reported,both prefill and cache costs matter,high
streaming_memory,LiveStar,2511.05299,https://arxiv.org/abs/2511.05299,live streaming video,peak-end memory compression plus streaming KV and response-silence decoding,yes,response conditioned,FPS memory and response timing reported,semantic correctness and response timing must both be evaluated,critical
streaming_memory,StreamKV,2511.07278,https://arxiv.org/abs/2511.07278,long streaming video,semantic segment KV retrieval and layer adaptation,yes,query retrieval,efficiency reported,semantic segmentation beats raw chronology in scope,high
streaming_memory,HERMES,2601.14724,https://arxiv.org/abs/2601.14724,long video,hierarchical reusable KV memory,yes,query retrieval,cache efficiency reported,hierarchy alone is a strong baseline,high
benchmark,StreamReady / ProReady-QA,2603.08620,https://arxiv.org/abs/2603.08620,proactive streaming video,readiness-aware answering and asymmetric timing score,not applicable,evidence-window conditioned,accuracy and answer-readiness reported,correctness without answer timing is insufficient,critical
event_memory,Event-VStream,2601.15655,https://arxiv.org/abs/2601.15655,real-time online video,semantic event boundaries and persistent memory,yes,event triggered,latency and online quality reported,event triggering is established,high
event_memory,EventMemAgent,2602.15329,https://arxiv.org/abs/2602.15329,online video agent,event detector plus long-term archive,yes,event and tool conditioned,agent-level metrics reported,separate memory gains from tool-use confounds,high
streaming_memory,WeaveTime,2602.22142,https://arxiv.org/abs/2602.22142,online temporal reasoning,order-aware state plus uncertainty retrieval,yes,uncertainty conditioned,online metrics reported,order and uncertainty slices are required,high
streaming_memory,DSCache,2605.01858,https://arxiv.org/abs/2605.01858,online video,cumulative past cache plus instant cache,yes,query conditioned,cache efficiency reported,a strong recent cache is mandatory,high
streaming_memory,SAVEMem,2605.07897,https://arxiv.org/abs/2605.07897,long video,three-tier semantic memory and query-aware retrieval,yes,query conditioned,quality and budget reported,semantic hierarchy is direct competition,high
streaming_memory,MuKV,2605.22269,https://arxiv.org/abs/2605.22269,long video,multi-grained patch frame segment KV compression,yes,query retrieval,quality and efficiency reported,multiscale memory is a direct baseline,high
spatial_state,Tensor Memory,2605.27686,https://arxiv.org/abs/2605.27686,online video,fixed recurrent 3D tensor with spatial write and read,yes,gated by current input,quality and memory reported,persistent spatial state is already covered,critical
streaming_memory,StateKV,2605.31598,https://arxiv.org/abs/2605.31598,long video,fixed recurrent state for video prefill,yes,current input conditioned,FLOPs and quality reported,direct bounded-state baseline,critical
streaming_memory,SelectStream,2606.16353,https://arxiv.org/abs/2606.16353,streaming video,budgeted surprise and priority evidence allocation,yes,query and surprise conditioned,budget and quality reported,blind history can dilute current perception,critical
streaming_memory,CausalMem,2606.25658,https://arxiv.org/abs/2606.25658,streaming video,online semantic basis under fixed budget,yes,stream conditioned,tokens storage and quality reported,closest low-dimensional semantic-state threat,critical
streaming_memory,FOLIO,2607.13298,https://arxiv.org/abs/2607.13298,streaming video,entity semantic memory plus short buffer and evidence cache,yes,focus and query conditioned,budget and quality reported,newest closest semantic-memory threat,critical
systems,STC,2512.00891,https://arxiv.org/abs/2512.00891,online video,vision encoding cache plus visual-token pruning,yes,stream conditioned,ViT and LLM latency reported,front-end and back-end costs must be split,critical
systems,V-Rex,2512.12284,https://arxiv.org/abs/2512.12284,online video hardware,dynamic KV retrieval co-designed with hardware,yes,query conditioned,hardware latency and energy reported,first co-design claims are unavailable,critical
structured_operator,Circulant Attention,2512.21542,https://arxiv.org/abs/2512.21542,vision attention,nearest BCCB projection and FFT,not applicable,no,complexity reported,BCCB attention is prior art,critical
structured_operator,Toeplitz Neural Network,2305.04749,https://arxiv.org/abs/2305.04749,long sequence modeling,Toeplitz token mixing,not applicable,no,complexity reported,BTTB or Toeplitz is a mandatory control,high
structured_operator,CirCNN,1708.08917,https://arxiv.org/abs/1708.08917,neural compression,block-circulant weights and FFT,not applicable,no,hardware efficiency reported,classical BCM origin,medium
structured_operator,Structured Transforms,1510.01722,https://arxiv.org/abs/1510.01722,compact neural networks,displacement-structured transforms,not applicable,no,parameter complexity reported,structured matrices are not novel,medium
structured_operator,Low Displacement Rank,1810.02309,https://arxiv.org/abs/1810.02309,compact transforms,learned displacement operators and low-rank terms,not applicable,no,parameter complexity reported,structured plus low rank has broader antecedent,high
structured_operator,Kaleidoscope,2012.14966,https://arxiv.org/abs/2012.14966,structured linear maps,unified sparse low-rank permutation Fourier factors,not applicable,no,complexity reported,multi-structure composition is established,medium
