panel,router,density,tail_group_size,work_ratio,aggregate_error_percent,oracle_error_percent,moment_error_percent,prediction,rank,worst_error_percent,coverage,arithmetic_speedup,head_role,fraction,candidate_speedup,free_branch_speedup,attention_share,attention_speedup,denoiser_speedup_upper_bound
capacity_pareto,moment,0.125,16,0.1953387147831587,9.634360303644117,,,,,,,,,,,,,,
capacity_pareto,moment,0.125,8,0.25001172952561806,9.07017130101864,,,,,,,,,,,,,,
capacity_pareto,moment,0.25,16,0.3125344819789259,6.72646756649524,,,,,,,,,,,,,,
capacity_pareto,moment,0.125,4,0.359385598968932,8.15527951998201,,,,,,,,,,,,,,
capacity_pareto,moment,0.25,8,0.35939563265952107,6.339741428043653,,,,,,,,,,,,,,
capacity_pareto,moment,0.375,16,0.42973137973137904,5.055055251710923,,,,,,,,,,,,,,
capacity_pareto,moment,0.25,4,0.4531432302265631,5.701872845184256,,,,,,,,,,,,,,
capacity_pareto,moment,0.375,8,0.4687805250305245,4.775244231926515,,,,,,,,,,,,,,
capacity_pareto,moment,0.375,4,0.5469017094017091,4.302826874511912,,,,,,,,,,,,,,
capacity_pareto,oracle_mass,0.125,16,0.19534662867996153,8.895471037741313,,,,,,,,,,,,,,
capacity_pareto,oracle_mass,0.125,8,0.2500186541853205,8.279484955948925,,,,,,,,,,,,,,
capacity_pareto,oracle_mass,0.25,16,0.31255483199927586,6.24899424052159,,,,,,,,,,,,,,
capacity_pareto,oracle_mass,0.125,4,0.35939153439153415,7.300575487528936,,,,,,,,,,,,,,
capacity_pareto,oracle_mass,0.25,8,0.3594134389273272,5.824973969611272,,,,,,,,,,,,,,
capacity_pareto,oracle_mass,0.375,16,0.4297505991950427,4.625139050031402,,,,,,,,,,,,,,
capacity_pareto,oracle_mass,0.25,4,0.4531584927418255,5.13443734883194,,,,,,,,,,,,,,
capacity_pareto,oracle_mass,0.375,8,0.46879734206123014,4.315218841894231,,,,,,,,,,,,,,
capacity_pareto,oracle_mass,0.375,4,0.5469161239994568,3.800182965459515,,,,,,,,,,,,,,
router_gap,,0.125,16,,,8.895471037741313,9.634360303644117,,,,,,,,,,,,
router_gap,,0.125,4,,,7.300575487528936,8.15527951998201,,,,,,,,,,,,
router_gap,,0.125,8,,,8.279484955948925,9.07017130101864,,,,,,,,,,,,
router_gap,,0.25,16,,,6.24899424052159,6.72646756649524,,,,,,,,,,,,
router_gap,,0.25,4,,,5.13443734883194,5.701872845184256,,,,,,,,,,,,
router_gap,,0.25,8,,,5.824973969611272,6.339741428043653,,,,,,,,,,,,
router_gap,,0.375,16,,,4.625139050031402,5.055055251710923,,,,,,,,,,,,
router_gap,,0.375,4,,,3.800182965459515,4.302826874511912,,,,,,,,,,,,
