Claim_ID,Claim_Text,Evidence_ID,Evidence_Type,Status,Artifact_or_Source,What_It_Supports,What_It_Does_Not_Support,Required_Next_Action
C4,Universal zero-shot BCCB replacement is unsupported,E-LOCAL-QWEN,experiment,verified,E:/Codex_work/ssh_experiment/video_circulant_analysis_20260701/ANALYSIS_REPORT.md,Qwen3-VL visual mean BCCB R2 is weak and replacement error is high,Temporal transport or trained local kernels,Retain as negative motivation
C4,Wan contains conditional geometry-aligned cyclic structure,E-LOCAL-WAN,experiment,verified,E:/Codex_work/ssh_experiment/video_circulant_analysis_20260701/ANALYSIS_REPORT.md,Selected Wan heads and layers show coordinate-dependent 3D cyclic structure,Universal BCCB attention or real denoising quality,Run real-latent loss and quality interventions
C4,Hybrid routes must be dynamic,E-LOCAL-TRANSFER,experiment,verified,E:/Codex_work/ssh_experiment/video_circulant_analysis_20260701/remote_logs/hybrid_transfer_probe_20260708.json,Oracle hybrid is accurate but source support transfer fails,A learned router's effectiveness,Train and measure a causal low-cost router
C2,Ranked sparse routes can be task-functional,E-LOCAL-SCTM,experiment,verified,E:/Codex_work/ssh_experiment/video_circulant_analysis_20260701/remote_logs/vit_sctm_route_causal_20260708.json,Top selected routes affect CIFAR-10 loss and predictions,Online-video event routing,Repeat on online video tasks
C4,DRE-BCM is parameter-space evidence only,E-DRE-BOUNDARY,experiment,verified,E:/Codex_work/ssh_experiment/diff_bitnet/dre_bcm/results/report.md,BCM needs low-rank correction on some weights,Temporal hidden-state low rank,Keep as a separate compression extension
C1,Two-timescale memory improves the matched task Pareto frontier,E-PROBE-MEMORY,experiment,preliminary,paper/results/probe_mvp/MEMORY_RETENTION_FORMAL_ANALYSIS.md,Exact recent evidence plus causal subspace memory improves hidden-vector retention at matched bytes,Language-conditioned task quality or measured latency,Run delayed-query and current-scene tasks with three seeds
C1,The two-timescale memory result generalizes across encoders,E-CROSS-ENCODER,experiment,planned,EXP-P5-CROSS,Mechanism is not specific to one frozen visual tower,Generalization to all VLMs,Repeat the formal memory and task gate on Qwen or a second public encoder
C2,Temporal state has a useful layer-selective low-dimensional component,E-PROBE-RANK,experiment,preliminary,paper/results/probe_mvp/STRATIFIED_FORMAL_PROBE_ANALYSIS.md,Rank-32 token-normalized energy passes 19 of 25 cells and layers 22 and 23 are consistent,All hidden states are low rank or causal reconstruction is sufficient,Test language-conditioned preservation with exact recent evidence
C2,The current prediction-innovation proxy is not semantically block sparse,E-PROBE-SPARSE,experiment,negative,paper/results/probe_mvp/STRATIFIED_FORMAL_PROBE_ANALYSIS.md,The residual joint gate passes 0 of 25 formal cells,Semantic event sparsity on annotated tasks,Remove event routing from the current method and defer semantic follow-up
C2,Local BTTB has a limited motion regime but BCCB has no cyclic advantage,E-PROBE-TRANSPORT,experiment,negative,paper/results/probe_mvp/STRATIFIED_FORMAL_PROBE_ANALYSIS.md,BTTB passes 9 of 20 eligible cells while BCCB adds only 0.037 percent mean gain,Downstream task benefit or optimized latency,Keep BTTB optional and remove BCCB from the contribution
C2,Exact recent evidence and consolidated memory are complementary at the representation level,E-ABLATION-COMP,experiment,preliminary,paper/results/probe_mvp/MEMORY_RETENTION_FORMAL_ANALYSIS.md,The hybrid removes memory-only current-scene dilution and improves longer-delay retention,Semantic complementarity or universal optimal allocation,Repeat the instant-frame and rank allocation ablation on tasks
C3,Memory is bounded independently of stream duration,E-SYSTEM-MEM,experiment,planned,EXP-S1-MEMORY,All retained state bytes remain constant with duration,Host-side hidden storage is free,Audit GPU CPU and archive bytes over time
C3,Tail latency improves at comparable task quality,E-SYSTEM-LAT,experiment,planned,EXP-S2-LATENCY,P50 P95 P99 and throughput improve on target hardware,FLOP proxies equal latency,Implement batched kernels and synchronized timing
C3,Any optional transport gate is net beneficial,E-SYSTEM-ROUTER,experiment,deferred,EXP-S3-ROUTER,Gate cost is smaller than avoided or improved processing,Task quality or latency benefit from the current proxy probes,Implement only if the two-timescale task MVP leaves a motion-specific failure slice
C1,Fixed-budget memory is an established competing direction,E-CIT-CAUSALMEM,citation,verified,https://arxiv.org/abs/2606.25658,CausalMem uses an online semantic basis under a fixed token budget,Our joint transport-event hypothesis,Implement or use official baseline
C1,Event-centric persistent memory is established,E-CIT-EVENT,citation,verified,https://arxiv.org/abs/2601.15655,Event-VStream triggers updates at semantic events and keeps persistent memory,Our component attribution and budget contract,Compare event-only and event-plus-state variants
C1,Low-rank plus sparse online decomposition is not new,E-CIT-RPCA,citation,verified,https://arxiv.org/abs/1601.07985,Online RPCA separates slowly changing low-dimensional and sparse components,Neural semantic state or structured spatial transport,State the theoretical antecedent explicitly
C3,Fixed-capacity recurrent video state is an established baseline,E-CIT-STATEKV,citation,verified,https://arxiv.org/abs/2605.31598,StateKV carries cross-frame context in fixed capacity,Event innovation and local structured transport,Compare at matched state bytes
