method_id,method_label,stage,stage_label,status,detail,source_path
ours,Ours,source,Source,PASS,,paper/results/probe_mvp/mvbench_independent_replication_300_20260722/INDEPENDENT_REPLICATION_ANALYSIS.md
ours,Ours,module_smoke,Module smoke,PASS,,paper/results/probe_mvp/mvbench_independent_replication_300_20260722/INDEPENDENT_REPLICATION_ANALYSIS.md
ours,Ours,dataset_preflight,Data preflight,PASS,,paper/results/probe_mvp/mvbench_independent_replication_300_20260722/INDEPENDENT_REPLICATION_ANALYSIS.md
ours,Ours,runtime_preflight,Runtime preflight,PASS,,paper/results/probe_mvp/mvbench_independent_replication_300_20260722/INDEPENDENT_REPLICATION_ANALYSIS.md
ours,Ours,official_quality,Quality,OPEN,No independent end-to-end streaming quality run.,paper/results/probe_mvp/mvbench_independent_replication_300_20260722/INDEPENDENT_REPLICATION_ANALYSIS.md
ours,Ours,official_latency,Latency,OPEN,No native writer/read/TTFT tail-latency run.,paper/results/probe_mvp/mvbench_independent_replication_300_20260722/INDEPENDENT_REPLICATION_ANALYSIS.md
ours,Ours,state_accounting,State accounting,PASS,,paper/results/probe_mvp/mvbench_independent_replication_300_20260722/INDEPENDENT_REPLICATION_ANALYSIS.md
ours,Ours,independent_replication,Independent replication,PASS,Frozen 300-sample routed-state preservation gate passed; selector superiority remains open.,paper/results/probe_mvp/mvbench_independent_replication_300_20260722/INDEPENDENT_REPLICATION_ANALYSIS.md
exact_recent,Exact recent,source,Source,PASS,,paper/results/probe_mvp/mvbench_independent_replication_300_20260722/aggregate/variant_summary.csv
exact_recent,Exact recent,module_smoke,Module smoke,PASS,,paper/results/probe_mvp/mvbench_independent_replication_300_20260722/aggregate/variant_summary.csv
exact_recent,Exact recent,dataset_preflight,Data preflight,PASS,,paper/results/probe_mvp/mvbench_independent_replication_300_20260722/aggregate/variant_summary.csv
exact_recent,Exact recent,runtime_preflight,Runtime preflight,PASS,,paper/results/probe_mvp/mvbench_independent_replication_300_20260722/aggregate/variant_summary.csv
exact_recent,Exact recent,official_quality,Quality,PASS,,paper/results/probe_mvp/mvbench_independent_replication_300_20260722/aggregate/variant_summary.csv
exact_recent,Exact recent,official_latency,Latency,NA,,paper/results/probe_mvp/mvbench_independent_replication_300_20260722/aggregate/variant_summary.csv
exact_recent,Exact recent,state_accounting,State accounting,PASS,,paper/results/probe_mvp/mvbench_independent_replication_300_20260722/aggregate/variant_summary.csv
exact_recent,Exact recent,independent_replication,Independent replication,PASS,,paper/results/probe_mvp/mvbench_independent_replication_300_20260722/aggregate/variant_summary.csv
causalmem,CausalMem,source,Source,PASS,,paper/results/probe_mvp/official_streaming_formal_20260722/official_quality_formal.csv
causalmem,CausalMem,module_smoke,Module smoke,PASS,,paper/results/probe_mvp/official_streaming_formal_20260722/official_quality_formal.csv
causalmem,CausalMem,dataset_preflight,Data preflight,PASS,,paper/results/probe_mvp/official_streaming_formal_20260722/official_quality_formal.csv
