layer,mode,method,capacity,hidden_dim,storage_bits,instant_capacity,payload_bytes,metadata_bytes,total_state_bytes,read_flops_per_query_token,update_flops_per_input_token
0,frame_centered_unit,recent_window,64,1024,16,0,131072,16,131088,131072,0
0,frame_centered_unit,uniform_reservoir,64,1024,16,0,131072,16,131088,131072,0
0,frame_centered_unit,instant_adaptive,64,1024,16,32,131072,280,131352,131072,69632
0,frame_centered_unit,instant_oja,64,1024,16,32,131072,16,131088,196608,196608
7,frame_centered_unit,recent_window,64,1024,16,0,131072,16,131088,131072,0
7,frame_centered_unit,uniform_reservoir,64,1024,16,0,131072,16,131088,131072,0
7,frame_centered_unit,instant_adaptive,64,1024,16,32,131072,280,131352,131072,69632
7,frame_centered_unit,instant_oja,64,1024,16,32,131072,16,131088,196608,196608
15,frame_centered_unit,recent_window,64,1024,16,0,131072,16,131088,131072,0
15,frame_centered_unit,uniform_reservoir,64,1024,16,0,131072,16,131088,131072,0
15,frame_centered_unit,instant_adaptive,64,1024,16,32,131072,280,131352,131072,69632
15,frame_centered_unit,instant_oja,64,1024,16,32,131072,16,131088,196608,196608
22,frame_centered_unit,recent_window,64,1024,16,0,131072,16,131088,131072,0
22,frame_centered_unit,uniform_reservoir,64,1024,16,0,131072,16,131088,131072,0
22,frame_centered_unit,instant_adaptive,64,1024,16,32,131072,280,131352,131072,69632
22,frame_centered_unit,instant_oja,64,1024,16,32,131072,16,131088,196608,196608
23,frame_centered_unit,recent_window,64,1024,16,0,131072,16,131088,131072,0
23,frame_centered_unit,uniform_reservoir,64,1024,16,0,131072,16,131088,131072,0
23,frame_centered_unit,instant_adaptive,64,1024,16,32,131072,280,131352,131072,69632
23,frame_centered_unit,instant_oja,64,1024,16,32,131072,16,131088,196608,196608
