suite,seed,frame,fraction,energy_ratio,event_recall,event_blocks,gini,is_event,previous_is_event,event_transition,is_scene_cut
transport,1,1,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,1,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,1,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,2,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,2,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,2,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,3,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,3,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,3,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,4,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,4,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,4,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,5,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,5,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,5,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,6,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,6,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,6,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,7,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,7,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,7,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,8,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,8,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,8,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,9,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,9,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,9,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,10,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,10,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,10,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,11,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,11,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,11,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,12,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,12,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,12,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,13,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,13,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,13,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,14,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,14,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,14,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,15,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,15,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,15,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,16,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,16,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,16,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,17,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,17,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,17,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,18,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,18,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,18,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,19,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,19,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,19,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,20,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,20,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,20,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,21,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,21,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,21,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,22,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,22,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,22,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,23,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,23,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,23,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,24,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,24,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,24,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,25,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,25,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,25,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,26,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,26,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,26,0.2,0.0,0.0,0,0.0,0,0,0,0
transport,1,27,0.05,0.0,0.0,0,0.0,0,0,0,0
transport,1,27,0.1,0.0,0.0,0,0.0,0,0,0,0
transport,1,27,0.2,0.0,0.0,0,0.0,0,0,0,0
state,1,1,0.05,0.15419018338268345,0.0,0,0.31599534362542353,0,0,0,0
state,1,1,0.1,0.22868536108770152,0.0,0,0.31599534362542353,0,0,0,0
