sample_id,task,memory_variant,transition,prediction_changed,reference_correct,candidate_correct,reference_prediction,candidate_prediction,answer,question,reference_frames,candidate_frames
action_sequence_0000,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Put down the cup/glass/bottle.,Put down the cup/glass/bottle.,Ate the medicine.,What happened after the person took the food?,"[249, 261, 273, 285, 322, 358, 370, 382]","[249, 261, 273, 285, 322, 358, 370, 382]"
action_sequence_0010,action_sequence,pca_r256_s4,stable_correct,0,1,1,Put down the laptop.,Put down the laptop.,Put down the laptop.,What happened before the person sat on the sofa/couch?,"[298, 326, 339, 381, 395, 409, 423, 437]","[298, 326, 339, 381, 395, 409, 423, 437]"
action_sequence_0016,action_sequence,pca_r256_s4,stable_correct,0,1,1,Tidied up the table.,Tidied up the table.,Tidied up the table.,What happened after the person took the dish?,"[70, 74, 79, 83, 87, 126, 130, 134]","[70, 74, 79, 83, 87, 126, 130, 134]"
action_sequence_0021,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Put down the phone/camera.,Put down the phone/camera.,Threw the clothes.,What happened before the person took the towel?,"[185, 192, 208, 216, 224, 232, 240, 248]","[185, 192, 208, 216, 224, 232, 240, 248]"
action_sequence_0023,action_sequence,pca_r256_s4,stable_wrong,0,0,0,Tidied up the closet/cabinet.,Tidied up the closet/cabinet.,Tidied up the blanket.,What happened before the person put down the clothes?,"[274, 302, 316, 358, 400, 414, 428, 442]","[274, 302, 316, 358, 400, 414, 428, 442]"
action_sequence_0024,action_sequence,pca_r256_s4,stable_correct,0,1,1,Opened the book.,Opened the book.,Opened the book.,What happened after the person drank from the cup/glass/bottle?,"[212, 231, 250, 259, 268, 278, 287, 297]","[212, 231, 250, 259, 268, 278, 287, 297]"
action_sequence_0027,action_sequence,pca_r256_s4,stable_correct,0,1,1,Put down the dish.,Put down the dish.,Put down the dish.,What happened before the person opened the closet/cabinet?,"[232, 274, 288, 344, 386, 414, 428, 442]","[232, 274, 288, 344, 386, 414, 428, 442]"
action_sequence_0030,action_sequence,pca_r256_s4,stable_correct,0,1,1,Sat on the sofa/couch.,Sat on the sofa/couch.,Sat on the sofa/couch.,What happened before the person took the blanket?,"[293, 327, 344, 394, 444, 495, 511, 528]","[293, 327, 344, 394, 444, 495, 511, 528]"
action_sequence_0036,action_sequence,pca_r256_s4,stable_correct,0,1,1,Washed the clothes.,Washed the clothes.,Washed the clothes.,What happened after the person held the sandwich?,"[173, 183, 193, 203, 252, 292, 302, 312]","[173, 183, 193, 203, 252, 292, 302, 312]"
action_sequence_0041,action_sequence,pca_r256_s4,stable_correct,0,1,1,Took the paper/notebook.,Took the paper/notebook.,Took the paper/notebook.,What happened after the person opened the refrigerator?,"[452, 470, 489, 507, 526, 544, 563, 581]","[452, 470, 489, 507, 526, 544, 563, 581]"
