layer,mode,method,capacity,hidden_dim,storage_bits,instant_capacity,payload_bytes,metadata_bytes,total_state_bytes,read_flops_per_query_token,update_flops_per_input_token
0,frame_centered_unit,recent_window,16,1024,16,0,32768,16,32784,32768,0
0,frame_centered_unit,uniform_reservoir,16,1024,16,0,32768,16,32784,32768,0
0,frame_centered_unit,instant_adaptive,16,1024,16,16,32768,24,32792,32768,0
0,frame_centered_unit,instant_oja,16,1024,16,16,32768,16,32784,32768,0
0,frame_centered_unit,recent_window,32,1024,16,0,65536,16,65552,65536,0
0,frame_centered_unit,uniform_reservoir,32,1024,16,0,65536,16,65552,65536,0
0,frame_centered_unit,instant_adaptive,32,1024,16,16,65536,152,65688,65536,36864
0,frame_centered_unit,instant_oja,32,1024,16,16,65536,16,65552,98304,98304
0,frame_centered_unit,recent_window,64,1024,16,0,131072,16,131088,131072,0
0,frame_centered_unit,uniform_reservoir,64,1024,16,0,131072,16,131088,131072,0
0,frame_centered_unit,instant_adaptive,64,1024,16,16,131072,408,131480,131072,102400
0,frame_centered_unit,instant_oja,64,1024,16,16,131072,16,131088,229376,294912
7,frame_centered_unit,recent_window,16,1024,16,0,32768,16,32784,32768,0
7,frame_centered_unit,uniform_reservoir,16,1024,16,0,32768,16,32784,32768,0
7,frame_centered_unit,instant_adaptive,16,1024,16,16,32768,24,32792,32768,0
7,frame_centered_unit,instant_oja,16,1024,16,16,32768,16,32784,32768,0
7,frame_centered_unit,recent_window,32,1024,16,0,65536,16,65552,65536,0
7,frame_centered_unit,uniform_reservoir,32,1024,16,0,65536,16,65552,65536,0
7,frame_centered_unit,instant_adaptive,32,1024,16,16,65536,152,65688,65536,36864
7,frame_centered_unit,instant_oja,32,1024,16,16,65536,16,65552,98304,98304
7,frame_centered_unit,recent_window,64,1024,16,0,131072,16,131088,131072,0
7,frame_centered_unit,uniform_reservoir,64,1024,16,0,131072,16,131088,131072,0
7,frame_centered_unit,instant_adaptive,64,1024,16,16,131072,408,131480,131072,102400
7,frame_centered_unit,instant_oja,64,1024,16,16,131072,16,131088,229376,294912
15,frame_centered_unit,recent_window,16,1024,16,0,32768,16,32784,32768,0
15,frame_centered_unit,uniform_reservoir,16,1024,16,0,32768,16,32784,32768,0
15,frame_centered_unit,instant_adaptive,16,1024,16,16,32768,24,32792,32768,0
15,frame_centered_unit,instant_oja,16,1024,16,16,32768,16,32784,32768,0
15,frame_centered_unit,recent_window,32,1024,16,0,65536,16,65552,65536,0
15,frame_centered_unit,uniform_reservoir,32,1024,16,0,65536,16,65552,65536,0
15,frame_centered_unit,instant_adaptive,32,1024,16,16,65536,152,65688,65536,36864
15,frame_centered_unit,instant_oja,32,1024,16,16,65536,16,65552,98304,98304
15,frame_centered_unit,recent_window,64,1024,16,0,131072,16,131088,131072,0
15,frame_centered_unit,uniform_reservoir,64,1024,16,0,131072,16,131088,131072,0
15,frame_centered_unit,instant_adaptive,64,1024,16,16,131072,408,131480,131072,102400
15,frame_centered_unit,instant_oja,64,1024,16,16,131072,16,131088,229376,294912
22,frame_centered_unit,recent_window,16,1024,16,0,32768,16,32784,32768,0
22,frame_centered_unit,uniform_reservoir,16,1024,16,0,32768,16,32784,32768,0
22,frame_centered_unit,instant_adaptive,16,1024,16,16,32768,24,32792,32768,0
22,frame_centered_unit,instant_oja,16,1024,16,16,32768,16,32784,32768,0
22,frame_centered_unit,recent_window,32,1024,16,0,65536,16,65552,65536,0
22,frame_centered_unit,uniform_reservoir,32,1024,16,0,65536,16,65552,65536,0
22,frame_centered_unit,instant_adaptive,32,1024,16,16,65536,152,65688,65536,36864
22,frame_centered_unit,instant_oja,32,1024,16,16,65536,16,65552,98304,98304
22,frame_centered_unit,recent_window,64,1024,16,0,131072,16,131088,131072,0
22,frame_centered_unit,uniform_reservoir,64,1024,16,0,131072,16,131088,131072,0
22,frame_centered_unit,instant_adaptive,64,1024,16,16,131072,408,131480,131072,102400
22,frame_centered_unit,instant_oja,64,1024,16,16,131072,16,131088,229376,294912
23,frame_centered_unit,recent_window,16,1024,16,0,32768,16,32784,32768,0
23,frame_centered_unit,uniform_reservoir,16,1024,16,0,32768,16,32784,32768,0
23,frame_centered_unit,instant_adaptive,16,1024,16,16,32768,24,32792,32768,0
23,frame_centered_unit,instant_oja,16,1024,16,16,32768,16,32784,32768,0
23,frame_centered_unit,recent_window,32,1024,16,0,65536,16,65552,65536,0
23,frame_centered_unit,uniform_reservoir,32,1024,16,0,65536,16,65552,65536,0
23,frame_centered_unit,instant_adaptive,32,1024,16,16,65536,152,65688,65536,36864
23,frame_centered_unit,instant_oja,32,1024,16,16,65536,16,65552,98304,98304
23,frame_centered_unit,recent_window,64,1024,16,0,131072,16,131088,131072,0
23,frame_centered_unit,uniform_reservoir,64,1024,16,0,131072,16,131088,131072,0
23,frame_centered_unit,instant_adaptive,64,1024,16,16,131072,408,131480,131072,102400
23,frame_centered_unit,instant_oja,64,1024,16,16,131072,16,131088,229376,294912
