name,paper_title,arxiv_id,code_url,category,datasets_tested,metrics_reported,strengths,weaknesses,selected,selection_reason
Full-History-Dense,N/A,N/A,N/A,upper_bound,All selected tasks,Task quality; latency; memory,Highest-information reference,Unbounded state and compute,yes,Quality upper bound and cost reference
Fixed-Window,N/A,N/A,N/A,foundational,All selected tasks,Task quality; latency; memory,Simple causal bounded baseline,Forgets delayed evidence,yes,Required streaming anchor
Uniform-Token-Reservoir,N/A,N/A,N/A,foundational,All selected tasks,Task quality; rare-event recall; memory,Simple matched-byte memory,Not semantic or event aware,yes,Tests whether learned memory is needed
VideoMamba,VideoMamba: State Space Model for Efficient Video Understanding,2403.06977,https://github.com/OpenGVLab/VideoMamba,state_space,Standard video understanding benchmarks,Paper-reported accuracy and efficiency,Linear-complexity temporal modeling,Not an online VLM memory drop-in,yes,State-space family anchor where protocol permits
Flash-VStream,Flash-VStream: Memory-Based Real-Time Understanding for Long Video Streams,2406.08085,https://github.com/IVGSZ/Flash-VStream,direct_competitor,VStream-QA and long-video benchmarks,Paper-reported quality; latency; VRAM,Two-level memory for real-time streams,Different base model and training protocol,yes,Closest established memory hierarchy
VideoChat-Online,Online Video Understanding: A Comprehensive Benchmark and Memory-Augmented Method,2501.00584,N/A,direct_competitor,OVBench and offline video benchmarks,Paper-reported online accuracy; efficiency,Pyramid memory plus online training,Full reproduction may be costly,yes,Primary online benchmark and memory baseline
LiveVLM,LiveVLM: Efficient Online Video Understanding via Streaming-Oriented KV Cache and Retrieval,2505.15269,N/A,direct_competitor,Online and long-video tasks,Paper-reported speed; frame capacity; quality,Training-free streaming KV approach,KV-centric rather than latent-state decomposition,yes,System baseline if code and assets are usable
ReKV,ReKV: Streaming Video Understanding via Relevant KV Retrieval,2503.00540,https://github.com/becomebright/rekv,direct_competitor,Long and streaming video tasks,Paper-reported quality; retrieval cost; storage,Sliding-window encoding plus host or disk KV retrieval,Offload can hide unbounded host state,yes,Required offload and retrieval baseline
StreamKV,StreamKV,2511.07278,N/A,direct_competitor,Long and streaming video tasks,Paper-reported quality; token count; efficiency,Semantic-segment KV retrieval with layer adaptation,Official reproduction compatibility must be checked,yes,Semantic segmentation baseline
HERMES,HERMES,2601.14724,N/A,direct_competitor,Long-video benchmarks,Paper-reported quality; cache size; efficiency,Hierarchical reusable KV memory,May require architecture-specific integration,yes,Hierarchy-only memory baseline
WeaveTime,WeaveTime,2602.22142,N/A,direct_competitor,Online temporal reasoning,Paper-reported quality; retrieval usage,Order-aware state plus uncertainty-triggered retrieval,Recent implementation and asset availability uncertain,yes,Temporal-order and uncertainty baseline
DSCache,DSCache,2605.01858,N/A,direct_competitor,Online video tasks,Paper-reported quality; cache cost,Cumulative past cache plus instant cache,Implementation availability uncertain,yes,Strong instant-cache baseline
SAVEMem,SAVEMem,2605.07897,N/A,direct_competitor,Long-video benchmarks,Paper-reported quality; memory budget,Three-tier semantic memory with query-aware retrieval,Very recent and potentially costly to reproduce,yes,Direct semantic-memory comparison
MuKV,MuKV,2605.22269,N/A,direct_competitor,Long-video benchmarks,Paper-reported quality; cache size; speed,Patch frame and segment level KV compression,Very recent and potentially architecture-specific,yes,Multigrained KV baseline
StreamingTOM,StreamingTOM: Streaming Token Compression for Efficient Video Understanding,2510.18269,N/A,direct_competitor,RVS and offline video benchmarks,Paper-reported TTFT; memory; accuracy,Fixed per-frame budget plus quantized memory,Training-free token-selection focus,yes,Matched token-budget baseline
STC,STC,2512.00891,N/A,direct_competitor,Online video tasks,Paper-reported encoder latency; prefill latency; quality,Repeated-ViT cache plus LLM token pruning,May require paper-specific kernels,yes,Front-end and back-end systems baseline
StateKV,Linear Scaling Video VLMs for Long Video Understanding,2605.31598,N/A,direct_competitor,Three long-video benchmarks and seven models,Paper-reported accuracy and FLOPs,Fixed-capacity recurrent state,No explicit event archive or structured transport,yes,Closest persistent-state baseline
CausalMem,Towards a Dynamic and Fixed-budget Memory Bank for Efficient Streaming Video Understanding,2606.25658,https://github.com/hktk07/CausalMem,direct_competitor,Streaming and offline video benchmarks,Paper-reported accuracy; tokens; storage,Online semantic basis under fixed budget,Very close to low-dimensional semantic memory,yes,Strongest novelty and performance comparator
SelectStream,What Should a Streaming Video Model Remember?,2606.16353,N/A,direct_competitor,Streaming video benchmarks,Paper-reported quality under fixed budget,Surprise-driven adaptive window and priority consolidation,Extremely recent and code availability uncertain,yes,Critical selective-memory baseline and recent-window warning
FOLIO,FOLIO,2607.13298,N/A,direct_competitor,Streaming video benchmarks,Paper-reported quality under fixed memory,Entity-organized semantic memory plus short buffer and evidence cache,Submitted immediately before audit and code availability uncertain,yes,Newest closest semantic-memory baseline
Tensor-Memory,Tensor Memory,2605.27686,N/A,direct_competitor,Online and long-video tasks,Paper-reported quality; fixed memory,Fixed recurrent 3D tensor with spatial write and read,Architecture integration may be substantial,yes,Direct persistent-spatial-state baseline
Event-VStream,Event-VStream: Event-Driven Real-Time Understanding for Long Video Streams,2601.15655,N/A,direct_competitor,OVOBench-Realtime and Ego4D,Paper-reported online quality and latency,Semantic event triggers plus persistent memory,No structured spatial transport,yes,Primary event-only baseline
EventMemAgent,EventMemAgent: Hierarchical Event-Centric Memory for Online Video Understanding with Adaptive Tool Use,2602.15329,https://github.com/lingcco/EventMemAgent,direct_competitor,Online video benchmarks,Paper-reported online quality,Short-term event detection plus long-term event archive,Agent and tool-use confounds,yes,Event-memory comparison where protocol permits
StreamForest,StreamForest,2509.24871,N/A,direct_competitor,Online video benchmarks,Paper-reported online quality; memory,Event memory forest plus fine-grained spatiotemporal window,Recent implementation availability uncertain,yes,Combined local-window and event-memory baseline
Circulant-Attention,Vision Transformers are Circulant Attention Learners,2512.21542,https://github.com/LeapLabTHU/Circulant-Attention,structured_operator,Vision tasks,Paper-reported accuracy and complexity,Direct BCCB attention reference,Local evidence shows weak transfer to Qwen and ViT probes,yes,Structured-path reference and negative baseline
Online-RPCA,Online and Offline Robust PCA: Novel Algorithms and Performance Guarantees,1601.07985,N/A,theoretical_antecedent,Video foreground-background separation,Recovery guarantees,Canonical online low-dimensional plus sparse formulation,Not semantic VLM state or task-aware routing,yes,Required novelty boundary
Online-Subspace,Online Supervised Subspace Tracking,1509.00137,N/A,theoretical_antecedent,Online predictive sequences,Prediction error; subspace tracking error,Simple online predictive subspace model,Not a semantic VLM memory,yes,Probe 1 algorithmic control
