component_id,name,role,input_format,output_format,is_novel,replaceable_by,ablation_priority,status,notes
COMP-1,Frozen Visual Encoder,Produce per-frame or per-chunk hidden tokens,video frames or chunks,grid-aligned hidden tokens,no,Qwen vision; CLIP; VideoMAE,low,retained,Shared base must remain identical across matched comparisons
COMP-2,Token Alignment,Control correspondence artifacts in hidden-state probes,previous tokens plus coordinates or motion,aligned previous tokens,no,identity; optical-flow warp; object pooling,medium,control,Optical flow passes no formal 10 percent transport cell and is not a deployed component
COMP-3,Structured Spatial Transport,Test whether local structured prediction helps dynamic slices,aligned previous grid tokens,structured state prediction,no,identity; depthwise convolution; BTTB; local BCCB; mixture of bases,low,optional_control,BTTB has a limited motion regime; BCCB adds only 0.037 percent mean gain over BTTB and is rejected
COMP-4,Unsupervised Two-Timescale State,Preserve exact recent evidence and consolidate older evidence into a causal subspace,current hidden evidence plus prior state,instant cache plus fixed-rank readout,no,recent window; reservoir; adaptive slots; memory-only Oja; StateKV-like state; CausalMem-like basis,high,rejected_core,Representation retention improved but the formal MVBench task-transfer gate failed at all capacities
COMP-5,Event Router,Predict block support for unpredictable or rare evidence,pooled residual cues plus uncertainty,block scores and selected support,no,random top-k; motion top-k; oracle residual top-k,low,rejected,Formal residual joint gate passes 0 of 25 cells; semantic follow-up is deferred
COMP-6,Sparse Event Archive,Retain high-fidelity rare evidence outside the low-dimensional state,selected event blocks,bounded episodic records,no,no archive; FIFO archive; reservoir archive,low,deferred,Not justified until semantic event routing passes and all archive bytes are counted
COMP-7,Fixed Byte Allocation,Allocate retained bytes between exact recent evidence and long-term state,total state-byte budget,recent payload plus memory payload,no,recent-only; memory-only; uniform reservoir; learned allocation,high,retained_control,Matched-byte accounting remains mandatory but the tested Oja allocation is not retained
COMP-8,Task Interface,Feed compact visual state to a task head or language model,instant and consolidated visual state,task logits or generated text,no,CLIP proxy; pooled frozen LLaVA; native video VLM; trained readout,high,validated_proxy,CLIP and pooled LLaVA anchors run end to end; the next interface must learn to read memory for the query
COMP-9,DRE-BCM Parameter Compression,Compress memory projections after state validation,trained projection weights,compressed module,no,LoRA; dense projections; BCM-only,low,deferred,Separate parameter-space extension and not evidence for temporal low rank
COMP-10,Query-Conditioned Learned Memory,Write retrieve and evict bounded semantic or episodic evidence using the current query and stream state,current evidence plus recent cache plus query,bounded memory tokens and retrieved evidence,yes,recent-only; reservoir; adaptive slots; CausalMem; FOLIO; SelectStream,high,selected_next,Must beat exact recent at matched bytes and preserve rare delayed evidence without reducing current-scene quality
COMP-11,Spatial Visual-Token Fidelity,Preserve enough within-frame detail before temporal compression,frame feature grid,compact visual tokens,no,4x4 pooling; 8x8 pooling; adaptive spatial tokens,high,retained_constraint,Grid8 improves accuracy point estimates by 0.06 to 0.08 over grid4 across policies but confidence intervals include zero
COMP-12,Low-Rank Native Feature Codec,Compress the counted projected-feature cache before query-time read,projected visual tokens,low-rank coefficients plus optional sparse residual tokens,no,full FP16 cache; int8 cache; spatial pooling; learned autoencoder,high,in_development,Fit only on the frozen calibration split and report shared codec parameters separately from per-stream state; task preservation rather than reconstruction alone is the promotion gate
