density,tail_group_size,method,split,threshold,records,accepted_records,coverage,aggregate_output_relative_l2,record_error_p95,record_error_max,approximate_attention_work_ratio,fallback_adjusted_attention_work_ratio,fallback_adjusted_arithmetic_speedup,accepted_head_roles
0.125,16,centroid,validation,0.9819023609161377,108,22,0.2037037037037037,0.004706801867969588,0.010824241829045433,0.019317952333534054,0.19536019536019544,0.8360918916474472,1.1960407821077967,"{""localized"": 19, ""transitional"": 3}"
0.125,16,centroid,test,0.9819023609161377,216,42,0.19444444444444445,0.005476316281617094,0.016638303902780243,0.041199932111150556,0.19536019536019547,0.8435422602089269,1.1854770616380523,"{""localized"": 39, ""transitional"": 3}"
0.125,8,centroid,validation,0.9771096110343933,108,23,0.21296296296296297,0.005574183727981266,0.018286653057839542,0.019003566952069867,0.2500305250305249,0.8402842784787229,1.1900734377780238,"{""localized"": 20, ""transitional"": 3}"
0.125,8,centroid,test,0.9771096110343933,216,44,0.2037037037037037,0.005022918513605715,0.013554576141164223,0.04041067308041772,0.25003052503052475,0.8472284402839958,1.1803192060748036,"{""localized"": 39, ""transitional"": 5}"
0.125,4,centroid,validation,0.9771096110343933,108,23,0.21296296296296297,0.004218697975761307,0.011778591078922974,0.017228604731707488,0.35940170940170924,0.8635762899651788,1.1579752844306577,"{""localized"": 20, ""transitional"": 3}"
0.125,4,centroid,test,0.9771096110343933,216,44,0.2037037037037037,0.004197698413348453,0.00966009747482894,0.03599686960748303,0.3594017094017091,0.8695077556188666,1.15007599821609,"{""localized"": 39, ""transitional"": 5}"
0.25,16,centroid,validation,0.9845690131187439,108,28,0.25925925925925924,0.0026350712985985267,0.010162394384559511,0.010922031347551986,0.3125501482644339,0.8217722606611495,1.2168821556418308,"{""localized"": 24, ""transitional"": 4}"
0.25,16,centroid,test,0.9845690131187439,216,52,0.24074074074074073,0.0024803701628385417,0.00962923635374688,0.01355899663239373,0.31254813562505895,0.8345023289467735,1.1983190044084135,"{""localized"": 47, ""transitional"": 5}"
0.25,8,centroid,validation,0.9845690131187439,108,28,0.25925925925925924,0.0023248506992762296,0.008943628984134136,0.009853097047869283,0.35940934065934055,0.8339209401709401,1.1991544423803728,"{""localized"": 24, ""transitional"": 4}"
0.25,8,centroid,test,0.9845690131187439,216,52,0.24074074074074073,0.0022374570367451746,0.008562939167419603,0.013190782826947047,0.3594075795998869,0.8457833061999728,1.1823359395598723,"{""localized"": 47, ""transitional"": 5}"
0.25,4,centroid,validation,0.9611189365386963,108,34,0.3148148148148148,0.0038310882376824465,0.01767272590421049,0.01915960359759571,0.45315844286432494,0.8278461764572874,1.2079538789191893,"{""localized"": 26, ""transitional"": 8}"
0.25,4,centroid,test,0.9611189365386963,216,63,0.2916666666666667,0.008697356750309106,0.01453244682275462,0.13277578322951603,0.4531571603000169,0.8405041717541715,1.1897620899524548,"{""localized"": 51, ""transitional"": 12}"
0.375,16,centroid,validation,0.9770366549491882,108,36,0.3333333333333333,0.003218226866860254,0.012942395350322256,0.018418397300901376,0.42975851309184665,0.8099195043639489,1.2346906014880161,"{""localized"": 25, ""transitional"": 11}"
0.375,16,centroid,test,0.9770366549491882,216,68,0.3148148148148148,0.0024537080441737863,0.009949526223434053,0.021407146265657654,0.4297708827120586,0.8204834260389814,1.2187936626918405,"{""localized"": 51, ""transitional"": 17}"
0.375,8,centroid,validation,0.9770366549491882,108,36,0.3333333333333333,0.002697993183729091,0.011674729760612549,0.016737539669828085,0.4688042667209335,0.8229347555736446,1.2151631623614296,"{""localized"": 25, ""transitional"": 11}"
0.375,8,centroid,test,0.9770366549491882,216,68,0.3148148148148148,0.0021221539448770315,0.009503579271275745,0.019701047114923893,0.468815090138619,0.8327751209695652,1.2008043646113513,"{""localized"": 51, ""transitional"": 17}"
0.375,4,centroid,validation,0.9758663773536682,108,37,0.3425925925925926,0.002482693801088015,0.011442530712189584,0.013717635269937205,0.5469227469227471,0.8447790892235338,1.1837414215817477,"{""localized"": 26, ""transitional"": 11}"
0.375,4,centroid,test,0.9758663773536682,216,68,0.3148148148148148,0.0016604940972373239,0.0073778455814574005,0.01585651411685511,0.5469313366372187,0.8573672726450503,1.166361292185688,"{""localized"": 51, ""transitional"": 17}"
